HVC,RGB
2.5GY_6_12,147_155_0
2.5GY_6_14,146_156_0
2.5GY_7_2,178_175_154
2.5GY_7_4,177_177_129
2.5GY_7_6,177_178_104
2.5GY_7_8,176_180_73
2.5GY_7_10,175_181_27
2.5GY_7_12,174_182_0
2.5GY_7_14,174_182_0
2.5GY_7_16,173_183_0
2.5GY_8_2,205_201_179
2.5GY_8_4,205_203_154
2.5GY_8_6,204_205_127
2.5GY_8_8,203_206_99
2.5GY_8_10,203_208_62
2.5GY_8_12,202_209_0
2.5GY_8_14,201_209_0
2.5GY_8_16,201_210_0
2.5GY_8_18,201_210_0
2.5GY_9_2,233_228_204
2.5GY_9_4,233_230_177
2.5GY_9_6,233_232_149
2.5GY_9_8,232_234_119
2.5GY_9_10,231_235_87
2.5GY_9_12,230_236_37
2.5GY_9_14,229_237_0
2.5GY_9_16,229_238_0
2.5GY_9_18,229_238_0
5.0GY_1_2,26_30_19
5.0GY_1_4,18_33_0
5.0GY_2_2,48_51_40
5.0GY_2_4,43_53_21
5.0GY_2_6,37_55_0
5.0GY_3_2,70_74_59
5.0GY_3_4,66_76_40
5.0GY_3_6,61_78_15
5.0GY_3_8,57_80_0
5.0GY_4_2,95_98_82
5.0GY_4_4,91_101_60
5.0GY_4_6,87_103_36
5.0GY_4_8,83_105_0
5.0GY_4_10,79_106_0
5.0GY_5_2,121_124_107
5.0GY_5_4,117_126_85
5.0GY_5_6,113_129_61
5.0GY_5_8,109_131_30
5.0GY_5_10,105_132_0
5.0GY_5_12,102_133_0
5.0GY_6_2,148_149_131
5.0GY_6_4,144_152_108
5.0GY_6_6,140_155_85
5.0GY_6_8,136_157_56
5.0GY_6_10,132_158_7
5.0GY_6_12,129_160_0
5.0GY_6_14,126_161_0
5.0GY_7_2,175_175_156
5.0GY_7_4,171_178_133
5.0GY_7_6,167_181_110
5.0GY_7_8,164_183_83
5.0GY_7_10,160_185_48
5.0GY_7_12,156_186_0
5.0GY_7_14,153_187_0
5.0GY_7_16,151_188_0
5.0GY_8_2,202_202_181
5.0GY_8_4,199_204_157
5.0GY_8_6,196_207_132
5.0GY_8_8,192_209_107
5.0GY_8_10,188_211_76
5.0GY_8_12,184_213_25
5.0GY_8_14,181_215_0
5.0GY_8_16,178_216_0
5.0GY_8_18,176_216_0
5.0GY_8_20,176_217_0
5.0GY_9_2,230_229_206
5.0GY_9_4,227_232_179
5.0GY_9_6,224_234_153
5.0GY_9_8,220_237_125
5.0GY_9_10,216_239_95
5.0GY_9_12,212_241_55
5.0GY_9_14,209_242_0
5.0GY_9_16,206_244_0
5.0GY_9_18,204_244_0
7.5GY_1_2,24_31_22
7.5GY_1_4,9_34_5
7.5GY_2_2,45_51_43
7.5GY_2_4,36_54_28
7.5GY_2_6,25_57_10
7.5GY_2_8,2_59_0
7.5GY_3_2,67_74_63
7.5GY_3_4,58_77_47
7.5GY_3_6,49_80_30
7.5GY_3_8,37_82_2
7.5GY_3_10,17_84_0
7.5GY_4_2,91_99_86
7.5GY_4_4,82_103_68
7.5GY_4_6,73_105_49
7.5GY_4_8,62_108_25
7.5GY_4_10,50_110_0
7.5GY_4_12,33_112_0
7.5GY_5_2,117_125_111
7.5GY_5_4,109_128_93
7.5GY_5_6,99_131_74
7.5GY_5_8,90_134_52
7.5GY_5_10,79_136_20
7.5GY_5_12,68_138_0
7.5GY_5_14,56_140_0
7.5GY_6_2,142_151_135
7.5GY_6_4,134_154_117
7.5GY_6_6,126_157_98
7.5GY_6_8,117_160_75
7.5GY_6_10,107_163_50
7.5GY_6_12,97_165_4
7.5GY_6_14,86_167_0
7.5GY_6_16,77_169_0
7.5GY_7_2,169_177_160
7.5GY_7_4,161_180_142
7.5GY_7_6,153_183_122
7.5GY_7_8,144_187_101
7.5GY_7_10,135_189_77
7.5GY_7_12,125_192_46
7.5GY_7_14,115_194_0
7.5GY_7_16,106_196_0
7.5GY_7_18,99_197_0
7.5GY_8_2,196_203_186
7.5GY_8_4,187_207_166
7.5GY_8_6,179_210_145
7.5GY_8_8,171_213_124
7.5GY_8_10,162_216_101
7.5GY_8_12,152_219_72
7.5GY_8_14,142_222_26
7.5GY_8_16,133_224_0
7.5GY_8_18,125_225_0
7.5GY_8_20,119_226_0
7.5GY_9_2,223_230_211
7.5GY_9_4,214_234_189
7.5GY_9_6,206_238_166
7.5GY_9_8,197_242_144
7.5GY_9_10,188_245_119
7.5GY_9_12,179_247_92
7.5GY_9_14,169_250_57
7.5GY_9_16,159_252_0
7.5GY_9_18,150_254_0
10.0GY_1_2,22_31_24
10.0GY_1_4,1_35_13
10.0GY_1_6,0_37_2
10.0GY_2_2,43_51_45
10.0GY_2_4,30_55_35
10.0GY_2_6,11_57_24
10.0GY_2_8,0_60_10
10.0GY_2_10,0_62_0
10.0GY_2_12,0_64_0
10.0GY_3_2,64_75_66
10.0GY_3_4,52_78_54
10.0GY_3_6,37_81_41
10.0GY_3_8,10_84_27
10.0GY_3_10,0_86_9
10.0GY_3_12,0_88_0
10.0GY_3_14,0_90_0
10.0GY_4_2,88_99_89
10.0GY_4_4,76_103_75
10.0GY_4_6,61_107_61
10.0GY_4_8,42_110_45
10.0GY_4_10,0_113_27
10.0GY_4_12,0_115_0
10.0GY_4_14,0_117_0
10.0GY_4_16,0_119_0
10.0GY_5_2,113_125_114
10.0GY_5_4,101_129_100
10.0GY_5_6,88_133_86
10.0GY_5_8,72_136_70
10.0GY_5_10,51_139_53
10.0GY_5_12,4_142_30
10.0GY_5_14,0_144_0
10.0GY_5_16,0_146_0
10.0GY_5_18,0_148_0
10.0GY_6_2,138_151_139
10.0GY_6_4,127_155_124
10.0GY_6_6,114_159_109
10.0GY_6_8,99_163_93
10.0GY_6_10,82_166_77
10.0GY_6_12,60_169_58
10.0GY_6_14,11_172_33
10.0GY_6_16,0_174_0
10.0GY_6_18,0_176_0
10.0GY_6_20,0_178_0
10.0GY_7_2,164_177_165
10.0GY_7_4,153_182_149
10.0GY_7_6,141_185_135
10.0GY_7_8,127_189_119
10.0GY_7_10,111_192_102
10.0GY_7_12,92_196_83
10.0GY_7_14,68_199_63
10.0GY_7_16,21_201_35
10.0GY_7_18,0_204_0
10.0GY_7_20,0_206_0
10.0GY_7_22,0_208_0
10.0GY_8_2,191_204_190
10.0GY_8_4,179_208_174
10.0GY_8_6,166_213_158
10.0GY_8_8,153_216_143
10.0GY_8_10,137_220_125
10.0GY_8_12,120_223_106
10.0GY_8_14,99_226_87
10.0GY_8_16,71_229_64
10.0GY_8_18,12_232_28
10.0GY_8_20,0_235_0
10.0GY_8_22,0_237_0
10.0GY_8_24,0_239_0
10.0GY_9_2,217_231_216
10.0GY_9_4,204_236_199
10.0GY_9_6,189_241_180
10.0GY_9_8,176_245_164
10.0GY_9_10,160_249_145
10.0GY_9_12,144_252_128
